R,CR,LBY,CLA,DRIVER,TEAM,SCORE,STAT 1,STAT 2,STAT 3,STAT 4,STAT 5,STAT 6,STAT 7,STAT 8
285,129,B,P,DEX DEEGEE,DEXTERITY II,21.895,29.41%,20.16%,20.00%,11.76%,,,,
286,157,D,GT,EVR Prisma,Evolve Racing,21.747,42.50%,10.53%,10.26%,6.25%,,,,
287,158,D,GT,CrisHokage20,APEX Driving School - AM,21.196,32.50%,23.53%,15.38%,8.33%,4.29%,,,
288,159,D,GT,PXM Turismo,Phoenix Motorsport,20.775,33.33%,13.16%,12.50%,,,,,
289,160,D,GT,Ax4x Histarium,Team Sakura Retrocrushes 1.5,20.751,37.50%,15.79%,10.26%,0.00%,,,,
290,130,D,P,s4ska,DMS eSports Jaguar,20.673,26.47%,26.47%,15.63%,14.71%,13.33%,9.68%,,
291,131,D,P,FTC Venom,FTC Porche,19.987,23.53%,23.33%,21.21%,15.32%,0.00%,,,
292,132,D,P,FTC Sadie,FTC Porche,19.912,29.41%,23.53%,17.65%,17.65%,14.71%,8.87%,8.82%,6.06%
293,161,D,GT,APEXDRAGON5,APEX Driving School - AM,19.840,32.50%,20.51%,12.82%,10.00%,0.00%,,,
294,162,D,GT,Kuroshine,1HOR,19.818,40.00%,10.26%,5.88%,5.56%,,,,
295,133,C,P,NWR Jesko,NWR Proto,19.747,35.29%,10.00%,6.06%,,,,,
296,163,D,GT,Sonic Trogg,CDR Motorsport,19.315,23.08%,20.00%,17.95%,15.38%,15.00%,,,
297,134,D,P,KanyeEast3284,Sovereign Racing,18.928,26.47%,20.59%,5.88%,,,,,
298,164,D,GT,SM S133PY,Phoenix Motorsport Osiris,18.912,26.47%,18.42%,17.50%,15.38%,11.11%,7.86%,,
299,165,D,GT,CDR Woody,CDR Motorsport,18.536,28.21%,15.00%,14.29%,13.89%,11.43%,,,
300,135,C,P,Will darrell742,Raven Racing,18.387,29.41%,18.18%,8.82%,3.23%,,,,
301,166,D,GT,Jiqsaw Bunqie,Phoenix Motorsport Osiris,17.950,28.95%,17.50%,12.82%,7.69%,5.56%,,,
302,136,C,P,APEX WYNOT,APEX Driving School - PRO,16.580,32.35%,17.65%,5.88%,1.61%,0.00%,,,
303,167,D,GT,DOR NiTeM4Re,CDR Motorsport,15.626,25.71%,15.00%,8.11%,0.00%,,,,
304,137,B,P,DEX Felipe,DEXTERITY II,15.406,29.41%,0.00%,,,,,,
305,168,C,GT,AMS ODD71,The Wolf Pack,14.966,28.57%,0.00%,,,,,,
306,138,D,P,Toaster Lord YT,Sovereign Racing,14.721,20.59%,16.67%,9.09%,4.03%,,,,
307,169,D,GT,FTC Dartman,DIR GT,14.713,21.05%,17.95%,5.71%,5.00%,,,,
308,170,D,GT,HYRmelanie9,Phoenix Motorsport,14.017,23.68%,12.50%,11.76%,11.43%,2.86%,2.70%,,
309,139,D,P,DMSRebel1022,DMS eSports Jaguar,13.854,26.47%,12.12%,6.06%,5.88%,0.81%,,,
310,171,D,GT,Rocket881,Phoenix Motorsport Osiris,13.449,17.50%,12.82%,12.14%,10.81%,8.57%,,,
311,140,D,P,C480,DIR Proto,12.987,23.53%,12.12%,2.94%,0.00%,,,,
312,141,D,P,QuadRings,Sovereign Racing,12.885,20.59%,11.76%,8.82%,0.00%,,,,
313,142,D,P,forzamanR8,DIR Proto,12.815,20.59%,12.12%,6.45%,2.94%,,,,
314,143,D,P,ye3zs,Sovereign Racing,12.130,20.59%,9.09%,6.45%,4.84%,,,,
315,144,D,P,boiledbird88,DMS eSports Jaguar,11.885,26.47%,0.00%,0.00%,,,,,
316,145,D,P,SkylineLofe,Sovereign Racing,11.744,20.59%,12.10%,6.25%,3.13%,3.03%,,,
317,146,D,P,BoeingSon,DIR Proto,11.385,26.47%,2.94%,2.42%,0.00%,,,,
318,172,D,GT,CDR Monster,CDR Motorsport,10.360,15.00%,8.82%,8.33%,7.89%,7.14%,,,
319,147,A,P,DEX Dreams,DEXTERITY,10.014,14.71%,8.82%,,,,,,
320,148,C,P,Heikonyan,FTC Ilford-Porsche,7.852,16.94%,2.94%,2.94%,0.00%,,,,
321,173,D,GT,TheCalamityF0x,UDP Racing - Gold,7.090,12.82%,7.69%,2.56%,2.50%,0.71%,,,
322,149,D,P,SDR Dremora,DIR Proto,6.162,11.76%,2.94%,0.00%,,,,,
323,150,C,P,RVN AmityQwQ,Raven Racing,6.134,8.82%,5.65%,3.23%,,,,,
324,174,N/A,GT,KasaiTheRedFox,NO TEAM,5.612,10.71%,,,,,,,
325,175,D,GT,Chasesunbox,UDP Racing - Gold,4.684,7.69%,2.50%,,,,,,
326,151,C,P,FTC Ashkan,FTC Ilford-Porsche,4.622,8.82%,0.00%,,,,,,
327,176,N/A,GT,NFSXPERT,NO TEAM,2.619,5.00%,,,,,,,
328,177,D,GT,C0ffee5004,UDP Racing - Gold,1.122,2.50%,0.00%,0.00%,,,,,
329,178,N/A,GT,Wicker Wiki,NO TEAM,0.748,1.43%,,,,,,,
